product_name,category,gender,details,description,MSRP
BMW 1 Series M 2011,Coupe,Women,"premium unleaded (required), 335.0 HP, MANUAL, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Coupe BMW 1 Series M 2011 premium unleaded (required), 335.0 HP, MANUAL, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",46135
BMW 1 Series 2011,Convertible,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Convertible BMW 1 Series 2011 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",40650
BMW 1 Series 2011,Coupe,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact","Women Coupe BMW 1 Series 2011 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact",36350
BMW 1 Series 2011,Coupe,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 1 Series 2011 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",29450
BMW 1 Series 2011,Convertible,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Convertible BMW 1 Series 2011 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact",34500
BMW 1 Series 2012,Coupe,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 1 Series 2012 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",31200
BMW 1 Series 2012,Convertible,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Convertible BMW 1 Series 2012 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",44100
BMW 1 Series 2012,Coupe,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact","Women Coupe BMW 1 Series 2012 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact",39300
BMW 1 Series 2012,Convertible,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Convertible BMW 1 Series 2012 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact",36900
BMW 1 Series 2013,Convertible,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Convertible BMW 1 Series 2013 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury, Compact",37200
BMW 1 Series 2013,Coupe,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact","Women Coupe BMW 1 Series 2013 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact",39600
BMW 1 Series 2013,Coupe,Women,"premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 1 Series 2013 premium unleaded (required), 230.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",31500
BMW 1 Series 2013,Convertible,Women,"premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Convertible BMW 1 Series 2013 premium unleaded (required), 300.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",44400
BMW 1 Series 2013,Convertible,Women,"premium unleaded (required), 320.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact","Women Convertible BMW 1 Series 2013 premium unleaded (required), 320.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact",48250
BMW 1 Series 2013,Coupe,Women,"premium unleaded (required), 320.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact","Women Coupe BMW 1 Series 2013 premium unleaded (required), 320.0 HP, MANUAL, rear wheel drive, Luxury,High-Performance, Compact",43550
Audi 100 1992,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize","Women Sedan Audi 100 1992 regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize",2000
Audi 100 1992,Wagon,Women,"regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize","Women Wagon Audi 100 1992 regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize",2000
Audi 100 1992,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize","Women Sedan Audi 100 1992 regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize",2000
Audi 100 1993,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize","Women Sedan Audi 100 1993 regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize",2000
Audi 100 1993,Wagon,Women,"regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize","Women Wagon Audi 100 1993 regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize",2000
Audi 100 1993,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize","Women Sedan Audi 100 1993 regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize",2000
Audi 100 1994,Wagon,Women,"regular unleaded, 172.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize","Women Wagon Audi 100 1994 regular unleaded, 172.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize",2000
Audi 100 1994,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize","Women Sedan Audi 100 1994 regular unleaded, 172.0 HP, MANUAL, all wheel drive, Luxury, Midsize",2000
Audi 100 1994,Sedan,Women,"regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize","Women Sedan Audi 100 1994 regular unleaded, 172.0 HP, MANUAL, front wheel drive, Luxury, Midsize",2000
Audi 100 1994,Sedan,Women,"regular unleaded, 172.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize","Women Sedan Audi 100 1994 regular unleaded, 172.0 HP, AUTOMATIC, front wheel drive, Luxury, Midsize",2000
Audi 100 1994,Wagon,Women,"regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize","Women Wagon Audi 100 1994 regular unleaded, 172.0 HP, AUTOMATIC, all wheel drive, Luxury, Midsize",2000
FIAT 124 Spider 2017,Convertible,Women,"premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Convertible FIAT 124 Spider 2017 premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact",27495
FIAT 124 Spider 2017,Convertible,Women,"premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Convertible FIAT 124 Spider 2017 premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact",24995
FIAT 124 Spider 2017,Convertible,Women,"premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact","Women Convertible FIAT 124 Spider 2017 premium unleaded (recommended), 160.0 HP, MANUAL, rear wheel drive, Performance, Compact",28195
Mercedes-Benz 190-Class 1991,Sedan,Women,"regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1991 regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
Mercedes-Benz 190-Class 1991,Sedan,Women,"regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1991 regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
Mercedes-Benz 190-Class 1992,Sedan,Women,"regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1992 regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
Mercedes-Benz 190-Class 1992,Sedan,Women,"regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1992 regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
Mercedes-Benz 190-Class 1993,Sedan,Women,"regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1993 regular unleaded, 130.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
Mercedes-Benz 190-Class 1993,Sedan,Women,"regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact","Women Sedan Mercedes-Benz 190-Class 1993 regular unleaded, 158.0 HP, MANUAL, rear wheel drive, Luxury, Compact",2000
BMW 2 Series 2016,Coupe,Women,"premium unleaded (required), 240.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 2 Series 2016 premium unleaded (required), 240.0 HP, AUTOMATIC, rear wheel drive, Luxury,Performance, Compact",32850
BMW 2 Series 2016,Convertible,Women,"premium unleaded (required), 240.0 HP, AUTOMATIC, rear wheel drive, Luxury, Compact","Women Convertible BMW 2 Series 2016 premium unleaded (required), 240.0 HP, AUTOMATIC, rear wheel drive, Luxury, Compact",38650
BMW 2 Series 2016,Convertible,Women,"premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Convertible BMW 2 Series 2016 premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",48750
BMW 2 Series 2016,Coupe,Women,"premium unleaded (required), 240.0 HP, AUTOMATIC, all wheel drive, Luxury,Performance, Compact","Women Coupe BMW 2 Series 2016 premium unleaded (required), 240.0 HP, AUTOMATIC, all wheel drive, Luxury,Performance, Compact",34850
BMW 2 Series 2016,Convertible,Women,"premium unleaded (required), 240.0 HP, AUTOMATIC, all wheel drive, Luxury, Compact","Women Convertible BMW 2 Series 2016 premium unleaded (required), 240.0 HP, AUTOMATIC, all wheel drive, Luxury, Compact",40650
BMW 2 Series 2016,Coupe,Women,"premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Coupe BMW 2 Series 2016 premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",44150
BMW 2 Series 2016,Coupe,Women,"premium unleaded (required), 240.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact","Women Coupe BMW 2 Series 2016 premium unleaded (required), 240.0 HP, MANUAL, rear wheel drive, Luxury,Performance, Compact",32850
BMW 2 Series 2016,Coupe,Women,"premium unleaded (required), 320.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Coupe BMW 2 Series 2016 premium unleaded (required), 320.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact",46150
BMW 2 Series 2016,Convertible,Women,"premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Convertible BMW 2 Series 2016 premium unleaded (required), 320.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",50750
BMW 2 Series 2017,Coupe,Women,"premium unleaded (recommended), 335.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Coupe BMW 2 Series 2017 premium unleaded (recommended), 335.0 HP, AUTOMATIC, all wheel drive, Factory Tuner,Luxury,High-Performance, Compact",46450
BMW 2 Series 2017,Convertible,Women,"premium unleaded (recommended), 335.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact","Women Convertible BMW 2 Series 2017 premium unleaded (recommended), 335.0 HP, AUTOMATIC, rear wheel drive, Factory Tuner,Luxury,High-Performance, Compact",49050
